ts	phase	decision	why	evidence	result
2026-09-05T01:50:01Z	frame	Chose figure-it-out for the M2 cut	Cross-cutting milestone cut, not a single Feature unit	spec/12-milestones.md:M2	open
2026-09-05T01:50:01Z	frame	U1.1 is belt_mk1 place plus one straight compile and lane step	Riskiest unknown is compiled segments and lane arrays; smallest landable that still steps	docs/m2-frame.md	open
2026-09-05T01:50:01Z	subtract	Skip Godot build mode, LaneInsert, sorter, truck, and boat in U1.1	Subtract before add; those systems are later units	docs/m2-frame.md	accepted
2026-09-05T01:50:01Z	architect	Skip arena for the U1.1 skeleton	Chapter 04 already names compiled runs, two lanes, 0.5 m, Mk1 2 m/s; ConstructRegistry.TryPlace exists	spec/04-automation.md:2.1	accepted
2026-09-05T01:50:01Z	architect	Chose the ten-family cut over a transport lump	Family cut keeps U1.1 one PR; the lump mixes Sim, net, and UI	docs/m2-frame.md	accepted
2026-09-05T01:50:01Z	how	Reuse ConstructRegistry and BuildingDef	BuildingBehaviour.Belt and TryPlace already consume recipes and reject street or slope	src/Sim/Building/ConstructRegistry.cs	accepted
2026-09-05T01:53:14Z	frame	Created M2 child issues 198-239	Same U fields as M1; parent #14; U1.1 is #208	https://github.com/gfed-official/performative-mail/issues/208	accepted
2026-09-05T01:53:14Z	verify	gh issue 14 lists families 198-207	Ten sub-issues; U1.1 208 is a child of 198	gh issue view 208 --json parent	VERIFIED
2026-09-05T01:55:40Z	verify	Rewrote PR 197 so GitHub cannot close issue 14	The phrase Does not close hash 14 is a close keyword	gh pr view 197 --json closingIssuesReferences	open
2026-09-05T01:55:40Z	u1.1	Both lanes must step in U1.1 tests	Trail review: lane 0 only left lane 1 unproven	docs/m2-frame.md	accepted
2026-09-05T01:55:40Z	u1.1	U1.1 segment id is the current tile run	Recompile after place; stable ids wait for U3 events	docs/m2-frame.md	accepted
2026-09-05T01:55:40Z	audit	Kept chapter 12 fps wording	60 fps is the M2 gate in spec; this slice does not rewrite it	spec/12-milestones.md:M2	accepted
2026-09-05T02:30:00Z	u1.1	BeltNetwork compiles from ConstructRegistry.All	Placement stays in ConstructRegistry; compile and step live under src/Sim/Automation	src/Sim/Automation/BeltNetwork.cs	accepted
2026-09-05T02:30:00Z	u1.1	Run identity is facing plus ordered tiles	Recompile after place; no stable id until U3	docs/m2-frame.md	accepted
2026-09-05T02:30:00Z	subtract	Letters only; head blocks at segment length	Cargo occupancy and sinks wait for U1.5	docs/m2-frame.md	accepted
2026-09-05T02:50:00Z	u1.2	Skip arena; compare two compile sketches in-thread	docs/m2-frame.md says U1.2 composes a named spec table	docs/m2-frame.md	accepted
2026-09-05T02:50:00Z	architect	Chose directed feed-graph walk over stitch-after-straight	byFacing partition is the U1.1 limit; stitching is a second pass over the same join rule	src/Sim/Automation/BeltNetwork.cs	accepted
2026-09-05T02:50:00Z	subtract	Delete byFacing grouping; keep BeltSegment tiles plus start facing	Per-tile Facing[] on the segment is unused until U1.5 endpoints	src/Sim/Automation/BeltNetwork.cs	accepted
2026-09-05T02:50:00Z	u1.2	Break opposed feeds and in-degree > 1	Opposed stays two segments; mergers wait for U1.4	spec/04-automation.md:2.1	accepted
2026-09-05T03:10:00Z	u1.3	Skip arena; frame named the U1.3 table	docs/m2-frame.md already names 2-tile ramps and elevated street crossing	docs/m2-frame.md	accepted
2026-09-05T03:10:00Z	architect	Chose facing-walk occupancy plus family compile over placement-only AABB	East AABB [2,1] occupies Y not X; ramps would not carry mail	src/Sim/Building/ConstructRegistry.cs	accepted
2026-09-05T03:10:00Z	subtract	No height graph, no BuildingDef.params parse, no same-tile belt stack	U1.3 join rules stay U1.2; catalog already ignores params	src/Sim/Automation/BeltNetwork.cs	accepted
2026-09-05T03:30:00Z	u1.4	Skip arena; frame named the U1.4 table	docs/m2-frame.md says U1.2-U1.6 compose named spec tables	docs/m2-frame.md	accepted
2026-09-05T03:30:00Z	architect	Chose junction nodes plus transfer pass over 0-length segments	A splitter is not part of a belt segment; keep IsFamily belt-only	src/Sim/Automation/BeltNetwork.cs	accepted
2026-09-05T03:30:00Z	subtract	Do not parse BuildingDef.params; ways=3 is a constant	Catalog already ignores params; filterable is Splitter vs Merger	src/Sim/Content/BuildingCatalog.cs	accepted
2026-09-05T03:35:00Z	u1.4	BeltItem carries MailKindId; TryInsert defaults to Letter	Kind filter needs a kind on the item; U1.1 inserts stay letters	src/Sim/Automation/BeltNetwork.cs	accepted
2026-09-05T03:35:00Z	u1.4	Step then transfer; RR over connected ports only	Skip blocked or filtered; merger cursor is per lane	src/Sim/Automation/BeltNetwork.cs	accepted
2026-09-05T03:39:00Z	verify	U1.4 acceptance on 0bc5c3d	Sim 441, Net 287, Bot 16, ContentValidator 0, CI 8 of 8	https://github.com/gfed-official/performative-mail/pull/243	VERIFIED
2026-09-05T03:40:00Z	audit	No junction-to-junction hop without a belt tile	U1.4 wires through belt segments only; adjacent junctions wait	src/Sim/Automation/BeltNetwork.cs	accepted
2026-09-05T03:40:00Z	audit	Cargo stays a single-lane insert	Two-lane cargo occupancy is U1.5	src/Sim/Automation/BeltNetwork.cs	accepted
2026-09-05T03:40:00Z	u1.4	Add matching-kind and lane 1 splitter facts	Trail review: reject-only filter and lane 0 only left the accept path unproved	tests/Sim.Tests/Automation/BeltMk1Tests.cs	tests green
2026-09-05T03:51:00Z	u1.5	Skip arena for U1.5	Frame already names U1.2–U1.6 tables; endpoints and occupancy are specified	docs/m2-frame.md	accepted
2026-09-05T03:51:00Z	architect	Chose BeltEndpoints after Step over sinks inside BeltNetwork.Step	U1.1 pins heads at LengthMetres; air-drop must not run in Step; tests call Drain after Step	src/Sim/Automation/BeltEndpoints.cs	accepted
2026-09-05T03:51:00Z	u1.5	Cargo is 2 m on both lanes in BeltSegment	kinds.json cargo beltLength is 0.5; frame wins and kinds.json stays	src/Sim/Automation/BeltNetwork.cs	accepted
2026-09-05T03:51:00Z	u1.5	Chest is a belt sink	spec/04 §2.6 says inserter only; issue 212 / frame say chest is a sink	src/Sim/Automation/BeltEndpoints.cs	accepted
2026-09-05T03:51:00Z	u1.5	Air-drop despawn is 300 s via TickClock	Closest existing despawn is death bag 30 s; chapter 04 says 5 min back to Intake	src/Sim/Automation/BeltEndpoints.cs	accepted
2026-09-05T03:51:00Z	u1.5	Intake outfeed pops min MailId	Entries is a dictionary; MailStack.Take is LIFO tail; spawn order is smallest id	src/Sim/Automation/BeltEndpoints.cs	accepted
2026-09-05T04:10:00Z	u1.6	Skip arena for U1.6	Frame already names U1.2–U1.6 tables; PlaceLine and salvage ratios are specified	docs/m2-frame.md	accepted
2026-09-05T04:10:00Z	architect	Chose ConstructRegistry.TryPlaceLine over a LineBuilder type	TryPlace already consumes and rejects; DragLine is already on BuildingDef	src/Sim/Building/ConstructRegistry.cs	accepted
2026-09-05T04:10:00Z	subtract	No PlaceLine net message, no Godot ghost, no pipes	U2.2 owns RemoveConstruct events; U9.1 owns ghost; U5 owns pipes	docs/m2-frame.md	accepted
2026-09-05T04:10:00Z	architect	Pass salvageRatio instead of RunPhase	Building stays free of Run; Prep is 1.0 and Delivery is 0.5	src/Sim/Building/ConstructRegistry.cs	accepted
2026-09-05T04:10:00Z	u1.6	Delivery refund floors each input count	3 logs become 1; 4 logs become 2; 1+1 belts become 0	src/Sim/Building/ConstructRegistry.cs	accepted
2026-09-05T04:12:00Z	u1.6	Deposit refunds before Unregister and take back on NoRoom	Partial deposit plus restore duplicated materials on a 2-input recipe	src/Sim/Building/ConstructRegistry.cs	accepted
2026-09-05T04:12:00Z	verify	U1.6 acceptance on 147394c then atomic refund fix	Sim 463 then new NoRoom and belt Prep facts; CI 8 of 8 on 147394c	https://github.com/gfed-official/performative-mail/pull/246	VERIFIED
2026-09-05T04:25:00Z	u2.1	Skip arena for U2.1	Chapter 04 §1.1 and chapter 06 already name ≤1 m flatten as an event; FlattenedTile exists	docs/m2-frame.md	accepted
2026-09-05T04:25:00Z	architect	Chose one pad height on PlacementField over a height overlay	U8.2 1x1 wall needs a height in the tan-15 neighbor band; overlay is a second height store	src/Sim/Building/PlacementField.cs	accepted
2026-09-05T04:25:00Z	subtract	No new MessageKind, no WorldTables.Heights write, no PlaceConstruct	JoinState already carries FlattenedTiles; U2.2 owns place net requests	src/Sim/Net/JoinState.cs	accepted
2026-09-05T04:25:00Z	u2.1	Apply flatten only after recipe consume	A MissingInput must not change heights	src/Sim/Building/ConstructRegistry.cs	accepted
2026-09-05T04:28:00Z	verify	U2.1 acceptance on 1eaab76	Sim 487, Net 295, Bot 16, ContentValidator 0	https://github.com/gfed-official/performative-mail/pull/247	open
